frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
96000.0,1704783671.7938647,1702776544.9058065,1701637237.564042,1701601628.7917638,1701524974.9859183
96500.0,1704783673.9293659,1702776546.9613037,1701637240.8320427,1701601630.9197645,1701524977.3179193
97000.0,1704783676.0628672,1702776549.050304,1701637244.155043,1701601633.0382636,1701524979.555418
97500.0,1704783678.2113664,1702776551.1078038,1701637247.3760414,1701601635.1712635,1701524981.7234194
98000.0,1704783680.3243659,1702776553.1703064,1701637250.5460422,1701601637.4067664,1701524983.8919175
98500.0,1704783682.4928648,1702776555.2793043,1701637253.8305428,1701601639.5797634,1701524986.1484177
99000.0,1704783684.6303668,1702776557.3258042,1701637257.0380414,1701601641.742266,1701524988.353419
99500.0,1704783686.8838649,1702776559.4548068,1701637260.036542,1701601643.9012637,1701524990.5764174
100000.0,1704783689.7974744,1702776562.0807188,1701637263.8285422,1701601646.0487633,1701524993.7125056
100500.0,1704783692.7304761,1702776565.0587192,1701637268.288541,1701601649.5902655,1701524996.7935054
101000.0,1704783694.9534762,1702776567.2177205,1701637271.6105428,1701601651.7682662,1701524999.027004
101500.0,1704783697.099974,1702776569.2982187,1701637274.9115415,1701601653.9582639,1701525001.2300034
102000.0,1704783699.260474,1702776571.3612204,1701637278.3070433,1701601656.1307635,1701525003.443505
102500.0,1704783701.4309742,1702776573.4382186,1701637281.738543,1701601658.2212632,1701525005.6975057
103000.0,1704783703.607977,1702776575.488721,1701637284.9045436,1701601660.4127657,1701525008.0310054
103500.0,1704783705.7409742,1702776577.5352194,1701637288.1170413,1701601662.5812657,1701525010.3310795
104000.0,1704783707.879474,1702776579.5882187,1701637291.3975441,1701601664.7007637,1701525012.5825038
104500.0,1704783709.9984763,1702776581.6697195,1701637294.6625426,1701601666.8097653,1701525014.840505
105000.0,1704783712.104474,1702776583.7437203,1701637297.959543,1701601668.8987634,1701525017.0285032
105500.0,1704783715.0044754,1702776586.5597184,1701637302.2385416,1701601671.9142637,1701525020.0190058
106000.0,1704783717.1134763,1702776588.62272,1701637305.4320426,1701601674.2012656,1701525022.2390046
106500.0,1704783719.2399766,1702776590.6942184,1701637308.6565428,1701601676.5667639,1701525024.5810034
107000.0,1704783721.352975,1702776592.7382205,1701637311.8430436,1701601678.731264,1701525026.8695037
107500.0,1704783723.4904737,1702776594.8477187,1701637315.3120434,1701601680.9182653,1701525029.1245039
108000.0,1704783725.617974,1702776596.9387188,1701637318.5445426,1701601683.1112635,1701525031.3595047
108500.0,1704783727.743974,1702776598.9997184,1701637321.754043,1701601685.3122637,1701525033.5900035
109000.0,1704783729.8834758,1702776601.085219,1701637325.1040432,1701601687.4977636,1701525035.8080037
109500.0,1704783732.0274756,1702776603.1302185,1701637328.284544,1701601689.652766,1701525037.9700036
110000.0,1704783734.196974,1702776605.1962187,1701637331.6500428,1701601691.802766,1701525040.2940068
110500.0,1704783737.051976,1702776607.9842186,1701637336.0766327,1701601694.6482651,1701525043.292504
111000.0,1704783739.1734738,1702776610.0232186,1701637339.4470425,1701601696.8117638,1701525045.457505
111500.0,1704783741.2809741,1702776612.073221,1701637342.9295437,1701601698.9462636,1701525047.6620045
