frames,no_epsilon_z,no_epsilon_rnd,local,simple,normal
30000.0,1705140894.2242987,1704976378.2635674,1704898610.2344854,1704643828.326961,1704585611.183899
30500.0,1705140900.7252996,1704976385.0420659,1704898618.6619837,1704643835.3404608,1704585618.1738975
31000.0,1705140906.1382995,1704976390.686568,1704898625.5259843,1704643841.3759594,1704585624.0718994
31500.0,1705140911.5568006,1704976396.348068,1704898632.8109834,1704643847.380962,1704585630.2888973
32000.0,1705140916.964799,1704976402.5345669,1704898641.1344843,1704643853.5309591,1704585636.4919002
32500.0,1705140922.450802,1704976411.0935671,1704898648.6409848,1704643859.6384614,1704585643.0068986
33000.0,1705140928.1298018,1704976416.678566,1704898656.0594833,1704643865.7234614,1704585649.4988995
33500.0,1705140933.5892992,1704976422.3010662,1704898663.4224834,1704643872.0304594,1704585655.5823977
34000.0,1705140939.078386,1704976428.4850688,1704898670.9624856,1704643878.0059614,1704585661.5753975
34500.0,1705140944.4867995,1704976434.5645676,1704898678.2149832,1704643883.9669588,1704585667.368899
35000.0,1705140949.9283006,1704976440.311066,1704898685.337485,1704643889.978959,1704585673.3273985
35500.0,1705140956.390299,1704976447.1825676,1704898694.5049856,1704643897.0334623,1704585680.287397
36000.0,1705140961.774299,1704976453.0850668,1704898702.148984,1704643902.9414594,1704585686.2393992
36500.0,1705140967.134802,1704976459.139569,1704898709.9589841,1704643908.9214602,1704585692.153899
37000.0,1705140972.5532997,1704976464.9165664,1704898717.2444828,1704643914.926461,1704585698.220897
37500.0,1705140977.957301,1704976470.6610658,1704898724.5259843,1704643920.9619591,1704585704.3348968
38000.0,1705140983.366299,1704976476.4060676,1704898732.1234846,1704643926.9344592,1704585710.4588978
38500.0,1705140988.8892992,1704976482.0550666,1704898739.8054848,1704643932.947459,1704585716.4758995
39000.0,1705140994.4593008,1704976487.8440695,1704898747.3264854,1704643939.071959,1704585722.4633992
39500.0,1705140999.8822992,1704976493.8585668,1704898755.0529838,1704643945.126959,1704585728.1613984
40000.0,1705141005.2763002,1704976499.568066,1704898762.4764829,1704643951.0609589,1704585733.988397
40500.0,1705141011.5438006,1704976506.4755676,1704898771.778485,1704643958.088959,1704585740.9823968
41000.0,1705141016.950799,1704976512.1880686,1704898779.6514843,1704643964.2844605,1704585746.6618986
41500.0,1705141022.5072994,1704976518.5095673,1704898786.574484,1704643970.1044617,1704585752.690899
42000.0,1705141027.9103017,1704976524.5020685,1704898793.6264842,1704643976.0949616,1704585759.1918993
42500.0,1705141033.3543012,1704976530.365067,1704898800.7444842,1704643982.0274596,1704585765.3878994
43000.0,1705141038.7562995,1704976536.4840689,1704898807.6219852,1704643987.9944615,1704585771.3903983
43500.0,1705141044.1448002,1704976542.384067,1704898814.8739846,1704643993.97146,1704585777.1473994
44000.0,1705141049.5647993,1704976548.9530683,1704898822.0079844,1704644000.6299596,1704585783.423897
44500.0,1705141055.149299,1704976555.8190682,1704898829.377485,1704644007.0254595,1704585789.7118971
45000.0,1705141060.6458,1704976562.2195933,1704898837.609984,1704644012.9019594,1704585795.4643993
45500.0,1705141067.1637988,1704976569.736067,1704898846.7734847,1704644019.9304624,1704585802.3853989
46000.0,1705141072.5678008,1704976576.170566,1704898854.1414843,1704644025.80446,1704585808.1513977
46500.0,1705141077.980301,1704976582.5550659,1704898861.2774842,1704644031.7579608,1704585813.9123971
47000.0,1705141083.358801,1704976588.8565686,1704898868.263985,1704644037.945461,1704585819.7418969
47500.0,1705141088.7858,1704976595.0895672,1704898875.1324844,1704644043.7994592,1704585825.527898
48000.0,1705141094.1907995,1704976601.387566,1704898882.1254835,1704644049.6459594,1704585831.3739002
48500.0,1705141099.5783005,1704976607.780067,1704898889.3699849,1704644055.6329615,1704585837.2528982
49000.0,1705141104.9707992,1704976613.9535692,1704898896.5879843,1704644061.4799595,1704585842.925897
49500.0,1705141110.3712993,1704976620.3855722,1704898905.0824835,1704644067.7524607,1704585848.5778973
50000.0,1705141115.8013003,1704976626.7410696,1704898911.9469845,1704644073.6309607,1704585854.3668966
50500.0,1705141122.4298012,1704976634.1850681,1704898921.1234844,1704644080.7174616,1704585861.5643969
51000.0,1705141127.8752992,1704976640.5710697,1704898928.4029844,1704644086.6179614,1704585867.574397
51500.0,1705141133.257799,1704976646.838066,1704898935.607486,1704644092.5764623,1704585873.5828984
52000.0,1705141138.599299,1704976653.1930664,1704898942.6675277,1704644098.6539612,1704585879.3178973
52500.0,1705141144.0668004,1704976659.4725711,1704898949.5399826,1704644104.7709596,1704585885.224899
53000.0,1705141149.5172994,1704976665.704568,1704898957.0499828,1704644110.964959,1704585891.4033968
53500.0,1705141154.998301,1704976672.1270657,1704898965.5009856,1704644116.8239608,1704585897.2278967
54000.0,1705141160.3838017,1704976678.454066,1704898972.5659857,1704644123.1159625,1704585903.2623992
54500.0,1705141165.837799,1704976684.824568,1704898980.1024833,1704644129.5049617,1704585909.2813988
