frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
12500.0,1704759019.1269102,1702765117.111767,1701306376.6457684,1701294437.8275118,1701257634.5214808
13000.0,1704759021.5154083,1702765119.8497996,1701306378.854267,1701294440.3125098,1701257636.6900437
13500.0,1704759023.9614096,1702765122.1807668,1701306381.1352682,1701294442.8970108,1701257638.8039784
14000.0,1704759026.443408,1702765124.4832675,1701306383.386768,1701294445.105011,1701257640.9404805
14500.0,1704759028.833409,1702765126.918268,1701306385.669767,1701294447.2940118,1701257643.0944786
15000.0,1704759031.2179654,1702765129.1822698,1701306388.0142674,1701294449.4730098,1701257645.2664785
15500.0,1704759034.474409,1702765132.4532692,1701306391.1582668,1701294452.4670098,1701257648.270979
16000.0,1704759036.9319084,1702765134.898769,1701306393.4017673,1701294454.5470107,1701257650.4024801
16500.0,1704759039.3444107,1702765137.224268,1701306395.6797671,1701294456.6380103,1701257652.5444794
17000.0,1704759041.7429085,1702765139.4947665,1701306397.9572685,1701294458.7625117,1701257654.6639805
17500.0,1704759044.2609105,1702765141.7337668,1701306400.298269,1701294461.2380097,1701257656.8194802
18000.0,1704759046.7464094,1702765144.1102676,1701306402.5502682,1701294463.5685115,1701257658.9589803
18500.0,1704759049.2229104,1702765146.3927681,1701306404.842267,1701294465.6660094,1701257661.1174803
19000.0,1704759051.6269107,1702765148.6782684,1701306407.1128614,1701294467.7465105,1701257663.2249784
19500.0,1704759054.0424092,1702765151.1717672,1701306409.4672694,1701294469.8440099,1701257665.3554788
20000.0,1704759056.5294104,1702765153.50077,1701306411.736769,1701294471.9655118,1701257667.5209792
20500.0,1704759059.7624104,1702765156.5917702,1701306414.9167671,1701294475.00751,1701257670.5364795
21000.0,1704759062.1484113,1702765158.9137685,1701306417.167767,1701294477.9120102,1701257672.6734798
21500.0,1704759064.8779109,1702765161.4832692,1701306419.4217682,1701294480.2560122,1701257674.9049816
22000.0,1704759067.4804108,1702765164.0237699,1701306421.8902698,1701294482.715511,1701257677.2459803
22500.0,1704759069.8439085,1702765166.5537705,1701306424.2507699,1701294484.8750098,1701257679.4314806
23000.0,1704759072.2369113,1702765168.9402692,1701306426.5307677,1701294487.4085097,1701257681.5629797
23500.0,1704759074.6054099,1702765171.1582701,1701306428.8772671,1701294489.6445098,1701257683.7194788
24000.0,1704759077.0459085,1702765173.359769,1701306431.182267,1701294491.8685122,1701257685.854479
24500.0,1704759079.4504085,1702765175.529269,1701306433.5102694,1701294493.99701,1701257688.0214796
25000.0,1704759081.922409,1702765177.754268,1701306435.8372672,1701294496.312013,1701257690.1344786
25500.0,1704759085.3284085,1702765180.814767,1701306439.0132687,1701294499.3515115,1701257693.1599808
26000.0,1704759087.7734091,1702765183.05527,1701306441.3312683,1701294501.4955118,1701257695.2789783
26500.0,1704759090.5274081,1702765185.2482665,1701306443.691267,1701294503.6600096,1701257697.4324794
27000.0,1704759092.9294086,1702765187.4757688,1701306445.9612713,1701294505.8220098,1701257699.5624785
27500.0,1704759095.3019106,1702765189.7122672,1701306448.3447688,1701294508.5900102,1701257701.7079785
28000.0,1704759097.6774101,1702765191.9412673,1701306450.6427674,1701294510.8810117,1701257703.8494809
28500.0,1704759100.0614097,1702765194.1947696,1701306452.946767,1701294513.1220098,1701257706.0074804
29000.0,1704759102.37891,1702765196.4197679,1701306455.24827,1701294515.43501,1701257708.1529803
29500.0,1704759104.7209084,1702765198.7202675,1701306457.578769,1701294517.6215098,1701257710.3194783
30000.0,1704759107.1204104,1702765200.8792694,1701306459.9887693,1701294519.9505115,1701257712.4794798
30500.0,1704759110.3314102,1702765203.9087696,1701306463.3362675,1701294522.9560127,1701257715.4609804
31000.0,1704759112.6584888,1702765206.203269,1701306465.6587677,1701294525.16101,1701257717.5779788
31500.0,1704759115.043409,1702765208.4047692,1701306468.040267,1701294527.328511,1701257719.742479
32000.0,1704759117.3994083,1702765210.5897698,1701306470.424767,1701294529.5685103,1701257721.8850157
