frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
137000.0,1666,1645,8425,1690,1838
137500.0,1672,1650,8461,1695,1845
138000.0,1678,1656,8495,1700,1850
138500.0,1685,1661,8520,1706,1855
139000.0,1690,1666,8550,1711,1860
139500.0,1695,1673,8590,1716,1866
140000.0,1701,1678,8629,1723,1873
140500.0,1706,1684,8658,1728,1878
141000.0,1711,1691,8695,1734,1884
141500.0,1717,1696,8718,1741,1889
142000.0,1722,1704,8734,1747,1895
142500.0,1730,1709,8755,1755,1902
143000.0,1736,1714,8779,1760,1907
143500.0,1742,1720,8823,1765,1912
144000.0,1747,1725,8862,1770,1918
144500.0,1752,1730,8890,1775,1926
145000.0,1758,1737,8917,1783,1931
145500.0,1763,1742,8952,1788,1939
146000.0,1768,1748,8986,1793,1944
146500.0,1773,1754,9013,1799,1949
147000.0,1779,1759,9035,1804,1955
147500.0,1789,1764,9045,1811,1961
148000.0,1796,1769,9066,1816,1968
148500.0,1807,1775,9094,1821,1973
149000.0,1814,1781,9136,1826,1978
149500.0,1830,1786,9177,1832,1984
150000.0,1841,1791,9211,1838,1990
150500.0,1852,1797,9236,1843,1996
151000.0,1859,1803,9267,1851,2002
151500.0,1868,1809,9313,1857,2008
152000.0,1880,1814,9347,1863,2013
152500.0,1892,1820,9384,1868,2020
153000.0,1903,1825,9408,1874,2026
153500.0,1912,1830,9433,1879,2032
154000.0,1922,1837,9454,1885,2039
154500.0,1933,1842,9472,1891,2044
155000.0,1939,1847,9517,1897,2050
155500.0,1945,1854,9562,1903,2057
156000.0,1952,1859,9587,1910,2064
156500.0,1959,1864,9619,1915,2072
157000.0,1965,1871,9659,1920,2078
157500.0,1974,1876,9684,1926,2083
158000.0,1981,1883,9712,1932,2089
158500.0,1992,1889,9734,1939,2096
159000.0,2001,1894,9757,1945,2103
159500.0,2009,1899,9774,1951,2108
160000.0,2018,1905,9787,1956,2113
160500.0,2030,1910,9796,1962,2118
161000.0,2038,1915,9805,1967,2124
161500.0,2047,1922,9820,1973,2129
162000.0,2058,1927,9830,1978,2134
162500.0,2066,1932,9839,1984,2141
163000.0,2078,1937,9847,1989,2146
163500.0,2088,1942,9858,1995,2153
164000.0,2098,1948,9865,2000,2158
164500.0,2105,1954,9872,2006,2163
165000.0,2112,1959,9879,2012,2168
165500.0,2121,1966,9884,2017,2175
166000.0,2130,1973,9890,2023,2181
166500.0,2140,1978,9897,2028,2189
167000.0,2147,1983,9902,2034,2196
167500.0,2158,1988,9907,2039,2202
168000.0,2168,1995,9914,2045,2207
168500.0,2176,2001,9921,2052,2214
169000.0,2189,2007,9926,2059,2219
169500.0,2196,2012,9932,2064,2224
170000.0,2205,2018,9937,2070,2230
170500.0,2215,2023,9944,2077,2236
171000.0,2221,2028,9950,2082,2241
171500.0,2228,2034,9955,2087,2246
172000.0,2235,2039,9960,2094,2251
172500.0,2240,2044,9967,2100,2257
173000.0,2247,2051,9973,2105,2263
173500.0,2253,2057,9978,2111,2268
174000.0,2259,2064,9983,2118,2274
174500.0,2266,2070,9988,2123,2279
175000.0,2273,2077,9995,2129,2285
175500.0,2278,2083,10001,2134,2291
176000.0,2283,2088,10006,2139,2296
176500.0,2291,2093,10012,2147,2302
177000.0,2298,2099,10019,2152,2307
177500.0,2305,2104,10024,2157,2312
178000.0,2311,2113,10029,2163,2318
178500.0,2317,2118,10036,2169,2324
179000.0,2322,2124,10042,2174,2329
179500.0,2328,2130,10047,2179,2334
180000.0,2335,2135,10052,2186,2340
180500.0,2340,2141,10057,2191,2346
181000.0,2345,2146,10062,2197,2352
181500.0,2351,2151,10067,2202,2357
182000.0,2356,2156,10073,2207,2365
182500.0,2362,2161,10078,2212,2370
183000.0,2368,2167,10084,2219,2375
183500.0,2376,2172,10089,2224,2380
184000.0,2382,2178,10094,2230,2386
184500.0,2390,2183,10101,2236,2391
185000.0,2397,2188,10106,2244,2396
185500.0,2403,2194,10111,2250,2401
186000.0,2411,2199,10116,2256,2407
186500.0,2420,2205,10123,2261,2413
187000.0,2430,2211,10128,2267,2421
187500.0,2435,2216,10133,2273,2426
188000.0,2440,2222,10139,2279,2432
188500.0,2447,2227,10145,2284,2437
189000.0,2454,2233,10151,2290,2442
189500.0,2460,2240,10156,2296,2449
190000.0,2466,2245,10161,2302,2455
190500.0,2472,2250,10167,2308,2461
191000.0,2481,2255,10172,2313,2468
191500.0,2497,2261,10178,2318,2474
192000.0,2507,2267,10183,2323,2479
192500.0,2513,2274,10188,2330,2484
193000.0,2521,2280,10193,2336,2490
193500.0,2527,2285,10198,2341,2496
194000.0,2533,2291,10203,2346,2503
194500.0,2539,2297,10208,2351,2509
195000.0,2546,2304,10213,2356,2515
195500.0,2552,2310,10219,2361,2521
196000.0,2557,2316,10225,2366,2527
196500.0,2563,2322,10230,2374,2532
197000.0,2569,2328,10235,2380,2539
197500.0,2575,2333,10240,2385,2545
198000.0,2581,2338,10246,2391,2550
198500.0,2587,2345,10252,2396,2556
199000.0,2595,2350,10258,2401,2563
199500.0,2601,2355,10263,2407,2569
200000.0,2606,2361,10270,2412,2576
200500.0,2612,2368,10277,2419,2582
201000.0,2619,2374,10282,2425,2588
201500.0,2628,2380,10287,2430,2593
202000.0,2633,2386,10292,2436,2601
202500.0,2641,2391,10297,2444,2608
203000.0,2646,2396,10302,2449,2614
203500.0,2656,2401,10308,2454,2620
204000.0,2668,2406,10313,2459,2625
204500.0,2674,2412,10318,2465,2630
205000.0,2679,2418,10323,2472,2636
205500.0,2689,2423,10328,2478,2645
206000.0,2705,2428,10335,2484,2653
206500.0,2713,2434,10340,2490,2660
207000.0,2725,2440,10346,2496,2665
207500.0,2737,2446,10351,2502,2672
208000.0,2746,2451,10356,2507,2677
208500.0,2757,2458,10363,2512,2684
209000.0,2765,2465,10368,2518,2690
209500.0,2776,2470,10373,2525,2696
210000.0,2785,2475,10380,2531,2702
210500.0,2794,2481,10387,2537,2708
211000.0,2801,2486,10393,2543,2713
211500.0,2806,2493,10399,2548,2718
212000.0,2812,2499,10404,2553,2725
212500.0,2824,2504,10409,2559,2731
213000.0,2838,2509,10414,2564,2739
213500.0,2852,2515,10421,2570,2745
214000.0,2858,2520,10427,2576,2752
214500.0,2863,2525,10432,2582,2759
215000.0,2873,2533,10437,2588,2766
215500.0,2878,2538,10442,2594,2771
216000.0,2885,2543,10449,2599,2777
216500.0,2894,2548,10454,2605,2783
217000.0,2904,2554,10459,2612,2790
217500.0,2912,2560,10464,2618,2795
218000.0,2922,2565,10469,2624,2801
218500.0,2932,2570,10474,2630,2806
219000.0,2939,2575,10479,2636,2812
219500.0,2949,2581,10485,2641,2817
220000.0,2966,2588,10490,2646,2823
220500.0,2984,2595,10495,2652,2828
221000.0,3001,2600,10500,2659,2833
221500.0,3021,2605,10505,2665,2838
222000.0,3046,2611,10510,2670,2845
222500.0,3064,2616,10515,2675,2851
223000.0,3076,2621,10521,2680,2857
223500.0,3088,2626,10529,2685,2863
224000.0,3108,2634,10534,2690,2868
224500.0,3124,2640,10540,2697,2874
225000.0,3138,2646,10545,2703,2879
225500.0,3153,2651,10550,2708,2885
226000.0,3174,2657,10555,2713,2891
226500.0,3189,2664,10560,2719,2896
227000.0,3206,2670,10566,2726,2901
227500.0,3224,2676,10571,2731,2906
228000.0,3242,2681,10576,2736,2911
228500.0,3266,2686,10581,2742,2917
229000.0,3287,2692,10587,2749,2923
229500.0,3311,2697,10593,2754,2928
230000.0,3331,2703,10598,2759,2935
230500.0,3347,2708,10603,2764,2940
231000.0,3365,2714,10608,2769,2946
231500.0,3376,2720,10614,2775,2953
232000.0,3400,2725,10619,2780,2958
232500.0,3421,2731,10624,2785,2963
233000.0,3441,2736,10629,2791,2968
233500.0,3462,2743,10634,2796,2973
234000.0,3486,2748,10640,2801,2979
234500.0,3507,2754,10645,2807,2985
235000.0,3528,2760,10650,2812,2991
235500.0,3547,2766,10655,2819,2997
236000.0,3568,2772,10660,2825,3003
236500.0,3593,2777,10665,2830,3008
237000.0,3615,2782,10670,2835,3013
237500.0,3639,2788,10676,2840,3020
238000.0,3649,2793,10681,2845,3025
238500.0,3663,2799,10686,2851,3030
239000.0,3689,2805,10692,2857,3036
239500.0,3711,2810,10699,2863,3042
240000.0,3729,2815,10706,2869,3047
240500.0,3742,2821,10711,2875,3054
241000.0,3760,2826,10717,2882,3059
241500.0,3778,2832,10722,2888,3064
242000.0,3796,2837,10727,2894,3069
242500.0,3813,2842,10732,2899,3077
243000.0,3833,2848,10739,2906,3083
243500.0,3854,2853,10745,2912,3089
244000.0,3876,2859,10750,2917,3095
244500.0,3893,2864,10755,2922,3100
245000.0,3912,2870,10760,2927,3106
245500.0,3928,2875,10767,2932,3114
246000.0,3951,2880,10772,2939,3119
246500.0,3974,2885,10777,2944,3126
247000.0,3999,2891,10782,2950,3132
247500.0,4019,2897,10787,2955,3137
