frames,local,simple,normal
207500.0,0.9,0.9,0.9
208000.0,0.9,0.9,0.9
208500.0,0.9,0.9,0.9
209000.0,0.9,0.9,0.9
209500.0,0.9,0.9,0.9
210000.0,0.9,0.9,0.9
210500.0,0.9,0.9,0.9
211000.0,0.9,0.9,0.9
211500.0,0.9,0.9,0.9
212000.0,0.9,0.9,0.9
212500.0,0.9,0.9,0.9
213000.0,0.9,0.9,0.9
213500.0,0.9,0.9,0.9
214000.0,0.9,0.9,0.9
214500.0,0.9,0.9,0.9
215000.0,0.9,0.9,0.9
215500.0,0.9,0.9,0.9
216000.0,0.9,0.9,0.9
216500.0,0.9,0.9,0.9
217000.0,0.9,0.9,0.9
217500.0,0.9,0.9,0.9
218000.0,0.9,0.9,0.9
218500.0,0.9,0.9,0.9
219000.0,0.9,0.9,0.9
219500.0,0.9,0.9,0.9
220000.0,0.9,0.9,0.9
220500.0,0.9,0.9,0.9
221000.0,0.9,0.9,0.9
221500.0,0.9,0.9,0.9
222000.0,0.9,0.9,0.9
222500.0,0.9,0.9,0.9
223000.0,0.9,0.9,0.9
223500.0,0.9,0.9,0.9
224000.0,0.9,0.9,0.9
224500.0,0.9,0.9,0.9
225000.0,0.9,0.9,0.9
225500.0,0.9,0.9,0.9
226000.0,0.9,0.9,0.9
226500.0,0.9,0.9,0.9
227000.0,0.9,0.9,0.9
227500.0,0.9,0.9,0.9
228000.0,0.9,0.9,0.9
228500.0,0.9,0.9,0.9
229000.0,0.9,0.9,0.9
229500.0,0.9,0.9,0.9
230000.0,0.9,0.9,0.9
230500.0,0.9,0.9,0.9
231000.0,0.9,0.9,0.9
231500.0,0.9,0.9,0.9
232000.0,0.9,0.9,0.9
232500.0,0.9,0.9,0.9
233000.0,0.9,0.9,0.9
233500.0,0.9,0.9,0.9
234000.0,0.9,0.9,0.9
234500.0,0.9,0.9,0.9
235000.0,0.9,0.9,0.9
235500.0,0.9,0.9,0.9
236000.0,0.9,0.9,0.9
236500.0,0.9,0.9,0.9
237000.0,0.9,0.9,0.9
237500.0,0.9,0.9,0.9
238000.0,0.9,0.9,0.9
238500.0,0.9,0.9,0.9
239000.0,0.9,0.9,0.9
239500.0,0.9,0.9,0.9
240000.0,0.9,0.9,0.9
240500.0,0.9,0.9,0.9
241000.0,0.9,0.9,0.9
241500.0,0.9,0.9,0.9
242000.0,0.9,0.9,0.9
242500.0,0.9,0.9,0.9
243000.0,0.9,0.9,0.9
243500.0,0.9,0.9,0.9
244000.0,0.9,0.9,0.9
244500.0,0.9,0.9,0.9
245000.0,0.9,0.9,0.9
245500.0,0.9,0.9,0.9
246000.0,0.9,0.9,0.9
246500.0,0.9,0.9,0.9
247000.0,0.9,0.9,0.9
247500.0,0.9,0.9,0.9
248000.0,0.9,0.9,0.9
248500.0,0.9,0.9,0.9
249000.0,0.9,0.9,0.9
249500.0,0.9,0.9,0.9
250000.0,0.9,0.9,0.9
250500.0,0.9,0.9,0.9
251000.0,0.9,0.9,0.9
251500.0,0.9,0.9,0.9
252000.0,0.9,0.9,0.9
252500.0,0.9,0.9,0.9
253000.0,0.9,0.9,0.9
253500.0,0.9,0.9,0.9
254000.0,0.9,0.9,0.9
254500.0,0.9,0.9,0.9
255000.0,0.9,0.9,0.9
255500.0,0.9,0.9,0.9
256000.0,0.9,0.9,0.9
256500.0,0.9,0.9,0.9
257000.0,0.9,0.9,0.9
257500.0,0.9,0.9,0.9
258000.0,0.9,0.9,0.9
258500.0,0.9,0.9,0.9
259000.0,0.9,0.9,0.9
259500.0,0.9,0.9,0.9
260000.0,0.9,0.9,0.9
260500.0,0.9,0.9,0.9
261000.0,0.9,0.9,0.9
261500.0,0.9,0.9,0.9
262000.0,0.9,0.9,0.9
262500.0,0.9,0.9,0.9
263000.0,0.9,0.9,0.9
263500.0,0.9,0.9,0.9
264000.0,0.9,0.9,0.9
264500.0,0.9,0.9,0.9
265000.0,0.9,0.9,0.9
265500.0,0.9,0.9,0.9
266000.0,0.9,0.9,0.9
266500.0,0.9,0.9,0.9
267000.0,0.9,0.9,0.9
267500.0,0.9,0.9,0.9
268000.0,0.9,0.9,0.9
268500.0,0.9,0.9,0.9
269000.0,0.9,0.9,0.9
269500.0,0.9,0.9,0.9
270000.0,0.9,0.9,0.9
270500.0,0.9,0.9,0.9
271000.0,0.9,0.9,0.9
271500.0,0.9,0.9,0.9
272000.0,0.9,0.9,0.9
272500.0,0.9,0.9,0.9
273000.0,0.9,0.9,0.9
273500.0,0.9,0.9,0.9
