frames,no_epsilon_rnd,no_epsilon_z,local,normal,simple
24000.0,1705264976.4153714,1705190395.1291246,1704820783.7775726,1704497068.2390525,1704420160.682723
24500.0,1705264983.0068707,1705190402.0611246,1704820790.1480749,1704497074.4785523,1704420167.0817194
25000.0,1705264989.4538693,1705190410.4876242,1704820796.5535748,1704497080.7085512,1704420173.1842213
25500.0,1705264997.0943725,1705190420.155124,1704820803.9440718,1704497088.0135515,1704420180.5772195
26000.0,1705265003.545873,1705190427.824624,1704820810.0745718,1704497094.380551,1704420186.886724
26500.0,1705265010.4143703,1705190434.9401236,1704820816.2570717,1704497100.6090522,1704420193.1647215
27000.0,1705265017.2748692,1705190441.555625,1704820822.4795732,1704497106.8615515,1704420199.3977227
27500.0,1705265023.8843691,1705190448.4656234,1704820828.7050745,1704497113.2815523,1704420205.7322195
28000.0,1705265030.6163728,1705190455.235124,1704820834.9310744,1704497119.5575523,1704420211.8107202
28500.0,1705265038.0058718,1705190461.9021244,1704820841.0115716,1704497125.818051,1704420217.9607196
29000.0,1705265045.1008716,1705190468.8706245,1704820847.2170715,1704497131.9905512,1704420224.047722
29500.0,1705265052.105369,1705190475.882624,1704820853.448572,1704497138.232551,1704420230.2707212
30000.0,1705265058.5923703,1705190484.3881247,1704820859.6735718,1704497144.4980516,1704420236.852221
30500.0,1705265066.4358702,1705190493.3286235,1704820867.1655726,1704497151.9705515,1704420244.8482196
31000.0,1705265072.8828714,1705190500.7731247,1704820873.315572,1704497158.2700515,1704420251.2292213
31500.0,1705265079.5498712,1705190508.877127,1704820879.555572,1704497164.5400524,1704420257.7182205
32000.0,1705265085.8818705,1705190516.3331254,1704820885.7975717,1704497170.843551,1704420263.9842224
32500.0,1705265092.2508695,1705190523.7436259,1704820892.012074,1704497177.2965515,1704420270.4297209
33000.0,1705265099.212373,1705190531.071625,1704820898.1495717,1704497183.474553,1704420276.8182216
33500.0,1705265105.7383726,1705190539.178125,1704820904.4480734,1704497189.801553,1704420283.3987217
34000.0,1705265112.247373,1705190547.3691256,1704820910.6905718,1704497196.6520538,1704420290.3342233
34500.0,1705265118.6123705,1705190555.2511244,1704820916.888574,1704497202.9565537,1704420296.8197207
35000.0,1705265125.097373,1705190562.6396253,1704820923.1260743,1704497209.6620543,1704420303.2227209
35500.0,1705265132.8348722,1705190571.2156255,1704820930.5580738,1704497217.3985548,1704420310.820221
